time,epoch,batch,loss,cost
0min1sec,0,0,-5.683,13.528
0min6sec,0,10,27.990,11.305
0min6sec,0,20,20.898,10.423
0min6sec,0,30,15.979,9.872
0min6sec,0,40,12.568,9.505
0min6sec,0,50,10.329,9.242
0min6sec,0,60,8.689,9.054
0min7sec,0,70,7.503,8.901
0min6sec,0,80,6.581,8.777
0min6sec,0,90,5.867,8.674
0min6sec,0,100,5.313,8.586
0min5sec,0,110,4.828,8.509
0min7sec,0,120,4.418,8.444
0min6sec,0,130,4.080,8.388
0min6sec,0,140,3.783,8.337
0min6sec,0,150,3.511,8.295
0min6sec,0,160,3.293,8.255
0min6sec,0,170,3.086,8.221
0min6sec,0,180,2.927,8.187
0min6sec,0,190,2.771,8.157
0min6sec,0,200,2.627,8.130
0min6sec,0,210,2.498,8.106
0min6sec,0,220,2.383,8.082
0min6sec,0,230,2.287,8.060
0min6sec,0,240,2.183,8.039
0min6sec,0,250,2.100,8.019
0min6sec,0,260,2.023,8.002
0min6sec,0,270,1.946,7.985
0min6sec,0,280,1.870,7.971
0min6sec,0,290,1.813,7.956
0min7sec,0,300,1.748,7.941
0min7sec,0,310,1.687,7.927
0min6sec,0,320,1.634,7.915
0min6sec,0,330,1.583,7.903
0min6sec,0,340,1.532,7.892
0min6sec,0,350,1.491,7.882
0min6sec,0,360,1.454,7.871
0min6sec,0,370,1.407,7.862
0min8sec,0,380,1.375,7.853
0min8sec,0,390,1.341,7.844
0min8sec,0,400,1.310,7.835
0min38sec,0,410,1.273,7.827
0min7sec,0,420,1.246,7.818
0min6sec,0,430,1.216,7.811
0min6sec,0,440,1.196,7.802
0min6sec,0,450,1.168,7.794
0min7sec,0,460,1.144,7.786
0min6sec,0,470,1.117,7.778
0min7sec,0,480,1.099,7.771
0min7sec,0,490,1.075,7.765
0min7sec,0,500,1.051,7.758
0min6sec,0,510,1.029,7.752
0min6sec,0,520,1.015,7.746
0min7sec,0,530,0.998,7.739
0min6sec,0,540,0.979,7.733
0min8sec,0,550,0.964,7.728
0min6sec,0,560,0.947,7.722
0min7sec,0,570,0.935,7.716
0min7sec,0,580,0.919,7.710
0min6sec,0,590,0.902,7.705
0min7sec,0,600,0.888,7.700
0min6sec,0,610,0.875,7.694
0min6sec,0,620,0.857,7.690
0min7sec,0,630,0.844,7.685
0min6sec,0,640,0.832,7.680
0min6sec,0,650,0.821,7.675
0min6sec,0,660,0.806,7.670
0min6sec,0,670,0.797,7.665
0min6sec,0,680,0.787,7.660
0min6sec,0,690,0.776,7.656
0min6sec,0,700,0.765,7.652
0min6sec,0,710,0.757,7.647
0min6sec,0,720,0.749,7.643
0min6sec,0,730,0.739,7.639
0min6sec,0,740,0.730,7.635
0min6sec,0,750,0.722,7.631
0min6sec,0,760,0.712,7.626
0min6sec,0,770,0.703,7.622
0min6sec,0,780,0.692,7.618
0min6sec,0,790,0.683,7.615
0min6sec,0,800,0.674,7.611
0min7sec,0,810,0.667,7.607
0min8sec,0,820,0.657,7.603
0min7sec,0,830,0.648,7.600
0min7sec,0,840,0.639,7.596
0min6sec,0,850,0.629,7.593
0min6sec,0,860,0.623,7.590
0min6sec,0,870,0.617,7.587
0min6sec,0,880,0.609,7.583
0min6sec,0,890,0.604,7.580
0min6sec,0,900,0.599,7.577
0min6sec,0,910,0.591,7.574
0min6sec,0,920,0.584,7.571
0min5sec,0,930,0.577,7.568
0min6sec,0,940,0.571,7.565
0min6sec,0,950,0.566,7.562
0min6sec,0,960,0.558,7.559
0min6sec,0,970,0.553,7.556
0min6sec,0,980,0.548,7.552
0min6sec,0,990,0.543,7.549
0min6sec,0,1000,0.536,7.546
0min6sec,0,1010,0.528,7.543
0min6sec,0,1020,0.523,7.541
0min6sec,0,1030,0.518,7.538
0min6sec,0,1040,0.515,7.535
0min6sec,0,1050,0.511,7.532
0min6sec,0,1060,0.505,7.530
0min6sec,0,1070,0.500,7.527
0min6sec,0,1080,0.497,7.525
