time,epoch,batch,loss,cost
0min1sec,0,0,-2.270,13.508
0min5sec,0,10,24.805,11.683
0min5sec,0,20,19.734,10.848
0min4sec,0,30,15.585,10.267
0min5sec,0,40,12.691,9.831
0min5sec,0,50,10.449,9.514
0min5sec,0,60,8.850,9.279
0min5sec,0,70,7.641,9.096
0min5sec,0,80,6.720,8.951
0min5sec,0,90,5.972,8.839
0min5sec,0,100,5.391,8.741
0min5sec,0,110,4.902,8.661
0min5sec,0,120,4.504,8.591
0min5sec,0,130,4.166,8.527
0min5sec,0,140,3.873,8.470
0min5sec,0,150,3.616,8.420
0min5sec,0,160,3.383,8.375
0min5sec,0,170,3.167,8.338
0min5sec,0,180,2.988,8.304
0min5sec,0,190,2.829,8.272
0min5sec,0,200,2.690,8.241
0min5sec,0,210,2.557,8.212
0min5sec,0,220,2.456,8.185
0min5sec,0,230,2.354,8.159
0min5sec,0,240,2.250,8.136
0min5sec,0,250,2.165,8.115
0min5sec,0,260,2.081,8.095
0min5sec,0,270,2.010,8.077
0min5sec,0,280,1.945,8.059
0min5sec,0,290,1.872,8.043
0min5sec,0,300,1.810,8.027
0min5sec,0,310,1.747,8.012
0min5sec,0,320,1.694,7.997
0min5sec,0,330,1.641,7.984
0min5sec,0,340,1.592,7.971
0min5sec,0,350,1.555,7.958
0min5sec,0,360,1.509,7.946
0min5sec,0,370,1.465,7.934
0min5sec,0,380,1.423,7.922
0min5sec,0,390,1.386,7.911
0min5sec,0,400,1.354,7.899
0min5sec,0,410,1.321,7.888
0min5sec,0,420,1.287,7.878
0min5sec,0,430,1.256,7.869
0min5sec,0,440,1.226,7.860
0min5sec,0,450,1.197,7.851
0min5sec,0,460,1.173,7.842
0min5sec,0,470,1.148,7.832
0min5sec,0,480,1.120,7.824
0min5sec,0,490,1.094,7.816
0min5sec,0,500,1.074,7.807
0min5sec,0,510,1.049,7.800
0min5sec,0,520,1.026,7.792
0min5sec,0,530,1.004,7.785
0min5sec,0,540,0.983,7.779
0min5sec,0,550,0.964,7.772
0min5sec,0,560,0.946,7.766
0min5sec,0,570,0.928,7.759
0min5sec,0,580,0.912,7.753
0min5sec,0,590,0.896,7.746
0min5sec,0,600,0.882,7.739
0min5sec,0,610,0.867,7.733
0min5sec,0,620,0.854,7.727
0min5sec,0,630,0.841,7.720
0min5sec,0,640,0.827,7.714
0min5sec,0,650,0.811,7.708
0min5sec,0,660,0.800,7.702
0min5sec,0,670,0.786,7.696
0min5sec,0,680,0.773,7.691
0min5sec,0,690,0.762,7.685
0min5sec,0,700,0.749,7.680
0min5sec,0,710,0.734,7.675
0min5sec,0,720,0.723,7.670
0min5sec,0,730,0.709,7.667
0min5sec,0,740,0.704,7.661
0min5sec,0,750,0.693,7.657
0min5sec,0,760,0.682,7.653
0min5sec,0,770,0.674,7.648
0min5sec,0,780,0.663,7.644
0min5sec,0,790,0.653,7.640
0min5sec,0,800,0.644,7.636
0min5sec,0,810,0.636,7.632
0min5sec,0,820,0.625,7.628
0min5sec,0,830,0.618,7.624
0min5sec,0,840,0.610,7.620
0min5sec,0,850,0.603,7.617
0min5sec,0,860,0.596,7.613
0min5sec,0,870,0.589,7.609
0min5sec,0,880,0.579,7.606
0min5sec,0,890,0.573,7.602
0min5sec,0,900,0.565,7.599
0min5sec,0,910,0.560,7.595
0min5sec,0,920,0.553,7.592
0min5sec,0,930,0.545,7.589
0min6sec,0,940,0.539,7.586
0min5sec,0,950,0.530,7.583
0min5sec,0,960,0.521,7.580
0min5sec,0,970,0.515,7.577
0min5sec,0,980,0.514,7.574
0min6sec,0,990,0.509,7.571
0min6sec,0,1000,0.505,7.567
0min5sec,0,1010,0.500,7.564
0min6sec,0,1020,0.495,7.561
0min5sec,0,1030,0.491,7.558
0min5sec,0,1040,0.487,7.555
0min5sec,0,1050,0.483,7.552
0min5sec,0,1060,0.479,7.549
0min5sec,0,1070,0.474,7.546
0min6sec,0,1080,0.471,7.543
0min5sec,0,1090,0.468,7.540
0min6sec,0,1100,0.464,7.537
0min5sec,0,1110,0.458,7.535
0min5sec,0,1120,0.454,7.532
0min5sec,0,1130,0.452,7.529
0min5sec,0,1140,0.447,7.527
0min5sec,0,1150,0.443,7.525
0min5sec,0,1160,0.442,7.522
0min5sec,0,1170,0.437,7.520
0min5sec,0,1180,0.435,7.517
0min5sec,0,1190,0.431,7.515
0min5sec,0,1200,0.428,7.513
0min5sec,0,1210,0.425,7.510
0min5sec,0,1220,0.423,7.508
0min7sec,0,1230,0.420,7.506
0min6sec,0,1240,0.417,7.503
0min6sec,0,1250,0.414,7.501
0min6sec,0,1260,0.410,7.499
0min6sec,0,1270,0.408,7.496
0min6sec,0,1280,0.406,7.494
0min6sec,0,1290,0.404,7.492
0min5sec,0,1300,0.401,7.490
0min6sec,0,1310,0.400,7.488
0min6sec,0,1320,0.395,7.486
0min6sec,0,1330,0.392,7.484
0min7sec,0,1340,0.391,7.482
0min8sec,0,1350,0.390,7.480
0min6sec,0,1360,0.387,7.478
0min5sec,0,1370,0.386,7.476
0min5sec,0,1380,0.383,7.474
0min5sec,0,1390,0.380,7.472
0min5sec,0,1400,0.378,7.470
0min5sec,0,1410,0.376,7.468
0min5sec,0,1420,0.373,7.466
0min5sec,0,1430,0.372,7.464
0min5sec,0,1440,0.371,7.462
0min5sec,0,1450,0.369,7.460
0min5sec,0,1460,0.369,7.458
0min5sec,0,1470,0.366,7.457
0min5sec,0,1480,0.365,7.455
0min5sec,0,1490,0.363,7.453
0min5sec,0,1500,0.362,7.451
0min5sec,0,1510,0.361,7.449
0min5sec,0,1520,0.359,7.448
0min5sec,0,1530,0.359,7.446
0min5sec,0,1540,0.357,7.444
0min5sec,0,1550,0.357,7.443
0min5sec,0,1560,0.356,7.441
0min5sec,0,1570,0.356,7.439
0min5sec,0,1580,0.353,7.437
0min5sec,0,1590,0.351,7.435
0min5sec,0,1600,0.349,7.433
0min5sec,0,1610,0.347,7.432
0min5sec,0,1620,0.345,7.430
0min5sec,0,1630,0.343,7.428
0min5sec,0,1640,0.341,7.427
0min5sec,0,1650,0.337,7.425
0min5sec,0,1660,0.334,7.424
0min5sec,0,1670,0.333,7.423
0min5sec,0,1680,0.333,7.421
0min5sec,0,1690,0.332,7.420
0min5sec,0,1700,0.331,7.418
0min5sec,0,1710,0.330,7.417
0min5sec,0,1720,0.329,7.415
0min5sec,0,1730,0.328,7.414
0min5sec,0,1740,0.327,7.413
0min5sec,0,1750,0.326,7.411
0min5sec,0,1760,0.323,7.410
0min5sec,0,1770,0.322,7.409
0min5sec,0,1780,0.321,7.407
0min5sec,0,1790,0.321,7.406
0min5sec,0,1800,0.319,7.405
0min5sec,0,1810,0.318,7.403
0min5sec,0,1820,0.317,7.402
0min5sec,0,1830,0.317,7.401
0min5sec,0,1840,0.316,7.399
0min5sec,0,1850,0.316,7.398
0min5sec,0,1860,0.316,7.396
0min5sec,0,1870,0.315,7.395
0min5sec,0,1880,0.313,7.394
0min5sec,0,1890,0.312,7.392
0min5sec,0,1900,0.310,7.391
1min14sec,0,1910,0.310,7.390
0min6sec,0,1920,0.307,7.388
0min5sec,0,1930,0.306,7.387
0min5sec,0,1940,0.305,7.386
0min5sec,0,1950,0.304,7.385
0min5sec,0,1960,0.303,7.384
0min5sec,0,1970,0.302,7.382
0min5sec,0,1980,0.302,7.381
0min5sec,0,1990,0.301,7.380
0min5sec,0,2000,0.299,7.379
0min5sec,0,2010,0.298,7.378
0min5sec,0,2020,0.297,7.377
0min5sec,0,2030,0.295,7.376
0min5sec,0,2040,0.295,7.375
0min5sec,0,2050,0.295,7.373
0min5sec,0,2060,0.294,7.372
0min5sec,0,2070,0.293,7.371
0min5sec,0,2080,0.292,7.370
0min5sec,0,2090,0.291,7.369
0min6sec,0,2100,0.290,7.368
0min5sec,0,2110,0.290,7.367
0min6sec,0,2120,0.289,7.365
0min6sec,0,2130,0.288,7.364
0min5sec,0,2140,0.288,7.363
0min6sec,0,2150,0.286,7.362
0min6sec,0,2160,0.285,7.361
0min6sec,0,2170,0.285,7.360
0min6sec,0,2180,0.284,7.359
0min6sec,0,2190,0.284,7.358
0min6sec,0,2200,0.282,7.357
0min6sec,0,2210,0.281,7.356
0min6sec,0,2220,0.281,7.355
0min6sec,0,2230,0.281,7.354
0min6sec,0,2240,0.280,7.353
0min6sec,0,2250,0.280,7.352
0min7sec,0,2260,0.280,7.351
0min6sec,0,2270,0.279,7.350
0min5sec,0,2280,0.279,7.349
0min6sec,0,2290,0.278,7.348
0min6sec,0,2300,0.278,7.347
0min7sec,0,2310,0.278,7.346
0min7sec,0,2320,0.277,7.345
0min5sec,0,2330,0.276,7.344
0min6sec,0,2340,0.276,7.343
0min6sec,0,2350,0.275,7.342
0min6sec,0,2360,0.276,7.342
0min5sec,0,2370,0.274,7.341
0min5sec,0,2380,0.274,7.340
0min6sec,0,2390,0.273,7.339
0min6sec,0,2400,0.272,7.338
0min10sec,0,2410,0.271,7.337
0min10sec,0,2420,0.271,7.336
0min8sec,0,2430,0.270,7.336
0min13sec,0,2440,0.270,7.335
0min8sec,0,2450,0.269,7.334
0min8sec,0,2460,0.268,7.333
0min8sec,0,2470,0.268,7.332
0min8sec,0,2480,0.267,7.331
0min7sec,0,2490,0.266,7.330
10min45sec,1,0,-0.504,7.080
0min8sec,1,10,-0.649,7.116
0min9sec,1,20,-0.837,7.123
0min8sec,1,30,-0.988,7.136
0min8sec,1,40,-0.971,7.138
0min8sec,1,50,-0.972,7.136
0min9sec,1,60,-0.994,7.137
0min9sec,1,70,-0.996,7.135
0min8sec,1,80,-1.068,7.140
0min8sec,1,90,-1.109,7.144
0min8sec,1,100,-1.181,7.147
0min9sec,1,110,-1.171,7.149
0min9sec,1,120,-1.213,7.153
0min9sec,1,130,-1.218,7.154
0min8sec,1,140,-1.195,7.153
0min9sec,1,150,-1.172,7.151
0min8sec,1,160,-1.145,7.149
0min9sec,1,170,-1.150,7.149
0min9sec,1,180,-1.119,7.146
0min9sec,1,190,-1.112,7.146
0min8sec,1,200,-1.118,7.147
0min9sec,1,210,-1.091,7.145
0min9sec,1,220,-1.084,7.144
0min9sec,1,230,-1.088,7.144
0min8sec,1,240,-1.089,7.145
0min8sec,1,250,-1.091,7.145
0min10sec,1,260,-1.084,7.145
0min8sec,1,270,-1.075,7.145
0min9sec,1,280,-1.071,7.144
0min9sec,1,290,-1.085,7.145
0min8sec,1,300,-1.090,7.144
0min8sec,1,310,-1.086,7.144
0min9sec,1,320,-1.071,7.144
0min9sec,1,330,-1.064,7.143
0min8sec,1,340,-1.060,7.143
0min8sec,1,350,-1.052,7.142
0min8sec,1,360,-1.040,7.141
0min8sec,1,370,-1.041,7.141
0min8sec,1,380,-1.040,7.141
0min8sec,1,390,-1.040,7.141
0min8sec,1,400,-1.034,7.141
0min9sec,1,410,-1.039,7.141
0min8sec,1,420,-1.033,7.140
0min8sec,1,430,-1.030,7.141
0min8sec,1,440,-1.021,7.140
0min8sec,1,450,-1.022,7.141
0min9sec,1,460,-1.015,7.140
0min8sec,1,470,-1.013,7.140
0min9sec,1,480,-1.016,7.140
0min8sec,1,490,-1.018,7.140
0min8sec,1,500,-1.019,7.141
0min9sec,1,510,-1.023,7.141
0min9sec,1,520,-1.025,7.142
